□ 평균 분양가격[2013.9~2015.9],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
구분,,2013년,2014년,,,,,,,,,,,,2015년,,,,,,,,,,,(단위: 천원/3.3㎡)
시도,시군구,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,1월,2월,3월,4월,5월,6월,7월,8월,9월,전월비,전년말비,전년동월비
수도권,,"13,083","12,995","13,041","13,069","12,991","13,312","13,064","12,947","13,127","13,293","13,391","13,539","13,556","13,693","13,634","13,253","13,155","13,201","13,130","13,038","13,155","12,920",-235,-636,-373
세종,,"7,601","7,600","7,532","7,814","7,908","7,934","8,067","8,067","8,141","8,282","8,527","8,592","8,560","8,560","8,560","8,555","8,546","8,546","8,671","8,669","8,695","8,715",20,155,434
지방,강원,"6,230","6,230","6,230","6,141","6,373","6,350","6,350","6,268","6,268","6,419","6,631","6,365","6,365","6,348","6,350","6,182","6,924","6,846","6,986","7,019","7,008","7,121",113,756,702
,충북,"6,589","6,589","6,611","6,625","6,678","6,598","6,587","6,586","6,586","6,584","6,529","6,724","6,743","6,749","6,747","6,783","6,790","6,805","6,682","6,601","6,603","6,606",3,-137,22
,충남,"6,365","6,365","6,379","6,287","6,552","6,591","6,644","6,805","6,914","6,882","6,831","6,940","6,989","6,976","6,980","7,161","7,017","6,975","6,939","6,935","6,942","6,939",-3,-50,57
,전북,"6,282","6,281","5,946","5,966","6,277","6,306","6,351","6,319","6,436","6,719","6,581","6,583","6,583","6,583","6,583","6,542","6,551","6,556","6,601","6,750","6,580","6,885",304,301,165
,전남,"5,678","5,678","5,678","5,696","5,736","5,656","5,609","5,780","5,685","5,804","5,753","5,768","5,784","5,784","5,833","5,825","5,940","6,050","6,243","6,286","6,289","6,245",-43,461,441
,경북,"6,168","6,168","6,234","6,317","6,412","6,409","6,554","6,556","6,563","6,577","6,778","6,881","6,989","6,992","6,953","6,997","7,006","6,966","6,887","7,035","7,037","7,029",-9,39,451
,경남,"6,473","6,485","6,502","6,610","6,599","6,610","6,615","6,613","6,606","6,767","6,881","7,125","7,332","7,592","7,588","7,668","7,683","7,717","7,715","7,723","7,665","7,947",282,615,"1,179"
,제주,"7,674","7,900","7,900","7,900","7,900","7,900","7,914","7,914","7,914","7,833","7,724","7,724","7,739","7,739","7,739","7,826","7,285","7,285","7,343","7,343","7,343","7,379",36,-360,-453
,,"6,432","6,462","6,435","6,443","6,566","6,552","6,578","6,605","6,621","6,698","6,714","6,764","6,816","6,846","6,847","6,873","6,899","6,900","6,925","6,961","6,933","7,019",85,203,321
,,,,,,,,,,,,,,,,,,,,,,,,,,
□ 평균 분양가격[2015.10~],,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2015년,,,,,,,,,,,,,,,,,,,,,,,,
,,10월,,,,,11월,,,,,12월,,,,(단위: 천원/㎡),,,,,,,,,,
시도,시군구,전체,60㎡이하,"60㎡초과
85㎡이하","85㎡초과
102㎡이하",102㎡초과,전체,60㎡이하,"60㎡초과
85㎡이하","85㎡초과
102㎡이하",102㎡초과,전체,60㎡이하,"60㎡초과
85㎡이하","85㎡초과
102㎡이하",102㎡초과,,,,,,,,,,
전국,,"2,674","2,665","2,676","2,854","2,919","2,691","2,698","2,690","2,905","3,010"," 2,720 "," 2,775 "," 2,718 "," 2,894 "," 3,014 ",,,,,,,,,,
수도권,서울,"5,841","5,652","5,882","5,721","5,879","6,050","6,320","5,964","7,092","6,551"," 6,041 "," 6,321 "," 5,966 "," 6,513 "," 6,551 ",,,,,,,,,,
,인천,"3,163","3,488","3,119","3,545","3,408","3,184","3,328","3,119","3,545","3,408"," 3,184 "," 3,328 "," 3,119 "," 3,545 "," 3,408 ",,,,,,,,,,
,경기,"3,138","3,126","3,239","3,496","3,680","3,098","3,079","3,202","3,391","3,724"," 3,198 "," 3,293 "," 3,314 "," 3,449 "," 3,850 ",,,,,,,,,,
,,"4,047","4,089","4,080","4,254","4,322","4,111","4,242","4,095","4,676","4,561"," 4,141 "," 4,314 "," 4,133 "," 4,502 "," 4,603 ",,,,,,,,,,
5대광역시 및 세종특별자치시,부산,"3,112","2,950","2,999","2,957","3,500","3,131","2,982","3,037","2,957","3,739"," 3,127 "," 2,951 "," 3,032 "," 2,957 "," 3,739 ",,,,,,,,,,
,대구,"2,682","2,614","2,696","2,557","2,598","2,749","2,503","2,806","2,557","2,743"," 2,962 "," 3,282 "," 2,971 "," 2,532 "," 2,743 ",,,,,,,,,,
,광주,"2,420","2,253","2,439", - , - ,"2,424","2,251","2,444", - , - ," 2,476 "," 2,395 "," 2,489 ", - , - ,,,,,,,,,,
,대전,"2,454","2,585","2,428","2,461", - ,"2,454","2,585","2,428","2,461", - ," 2,454 "," 2,585 "," 2,428 "," 2,461 ", - ,,,,,,,,,,
,울산,"3,053","2,422","3,040","2,951","2,690","3,043","2,584","3,048","2,663","2,874"," 3,043 "," 2,584 "," 3,048 "," 2,663 "," 2,874 ",,,,,,,,,,
,세종,"2,642","2,572","2,657","2,644","2,692","2,648","2,572","2,666","2,644","2,749"," 2,665 "," 2,601 "," 2,676 "," 2,661 "," 2,752 ",,,,,,,,,,
,,"2,727","2,566","2,710","2,714","2,870","2,742","2,579","2,738","2,656","3,026"," 2,788 "," 2,733 "," 2,774 "," 2,655 "," 3,027 ",,,,,,,,,,
기타지방,강원,"2,167","2,286","2,212","2,061","2,171","2,171","2,292","2,193","2,061","2,171"," 2,171 "," 2,292 "," 2,193 "," 2,061 "," 2,171 ",,,,,,,,,,
,충북,"2,032","1,919","2,033","2,102","2,369","2,004","1,921","2,015","1,868","2,277"," 2,005 "," 1,941 "," 2,017 "," 2,276 "," 2,261 ",,,,,,,,,,
,충남,"2,099","2,206","2,101","2,743","2,442","2,100","2,214","2,105","2,523","2,468"," 2,269 "," 2,438 "," 2,279 "," 2,523 "," 2,444 ",,,,,,,,,,
,전북,"2,054","2,127","2,056","2,377","2,250","2,057","2,129","2,057","2,377","2,282"," 1,983 "," 1,925 "," 1,987 "," 2,377 "," 2,282 ",,,,,,,,,,
,전남,"1,925","1,999","1,922","2,262","2,292","1,909","1,999","1,906","2,262","2,176"," 1,909 "," 1,999 "," 1,906 "," 2,262 "," 2,176 ",,,,,,,,,,
,경북,"2,148","2,204","2,145","2,308","2,222","2,190","2,210","2,186","2,516","2,370"," 2,181 "," 2,178 "," 2,184 "," 2,516 "," 2,370 ",,,,,,,,,,
,경남,"2,291","2,239","2,305","2,890","3,014","2,298","2,200","2,322","2,980","3,043"," 2,307 "," 2,280 "," 2,329 "," 2,934 "," 3,019 ",,,,,,,,,,
,제주,"2,232", - ,"2,225","2,583","2,574","2,232", - ,"2,225","2,583","2,574"," 2,268 ", - ," 2,260 "," 2,583 "," 2,574 ",,,,,,,,,,
,,"2,118","2,140","2,125","2,416","2,417","2,120","2,138","2,126","2,396","2,420"," 2,137 "," 2,150 "," 2,144 "," 2,441 "," 2,412 ",,,,,,,,,,
